URLs,Headers,Times,Descriptions,Texts
https://tvn24.pl/swiat/francja-brigitte-macron-przeciwna-formom-neutralnym-plciowo-w-jezyku-francuskim-st6497130,"Brigitte Macron przeciwna formom neutralnym płciowo w języku francuskim. ""Nauka francuskiego i tak jest już trudna""","15 grudnia 2022, 13:56","Brigitte Macron, pierwsza dama Francji, wyraziła swój sprzeciw dla wprowadzania w języku francuskim form neutralnych pod względem płci. ""Mówię za milczącą większość"" - twierdzi.","Brigitte, żona prezydenta Francji Emmanuela Macrona, wypowiedziała się przeciwko stosowaniu w języku francuskim form neutralnych pod względem płci, pisze ""The Independent"". Jak wskazała w rozmowie z magazynem ""L'Obs"", jej podejście wynika z miłości do języka. W przeszłości pierwsza dama była nauczycielką literatury. ZOBACZ TEŻ: LGBTQ+. Kim jest plus? Oto pojęciownik (jak mówić, żeby nie obrażać) W języku francuskim, nawet w urzędowych pismach, coraz częściej pojawiają się końcówki neutralne płciowo. Posługiwała się nimi m.in. rada miejska Paryża czy administracja Uniwersytetu w Sorbonie. Chodzi o stosowanie form, które uwzględniałyby jednocześnie obie płcie, osoby transpłciowe, a także osoby, które nie identyfikują się z żadną płcią, czyli niebinarne. To na przykład ""iel"" (w liczbie pojedynczej) i ""iels"" (w liczbie mnogiej) zamiast ""il"" (on) i ""elle"" (ona) lub ""ils"" (oni) i ""elles"" (one). Czasem to także dodawanie żeńskiej końcówki ""-e"" i odpowiedzialnej za liczbę mnogą ""-s"" do słów rodzaju męskiego, aby je zneutralizować pod względem płci. Brigitte Macron, która rzadko komentuje sprawy polityczne, już w zeszłym roku skrytykowała stosowanie form neutralnych językowo, gdy słowo ""iel"" zostało dodane do słownika wydawnictwa Dictionnaires Le Robert. - Są dwa zaimki: ""il"" i ""elle"" - podkreśliła. - Język jest piękny, a dwa zaimki są w porządku - dodała. Kilka dni temu w rozmowie z magazynem ""L'Obs"" powtórzyła swoje stanowisko. - Nauka francuskiego i tak jest już trudna. Nie dodawajmy złożoności do złożoności. To kwestia dotycząca kultury - powiedziała. Zaznaczyła przy tym, że nie jest przeciwko zmianom płci, ale wypowiada się w imieniu milczącej większości, która nie chce zmian w języku. Akademia Francuska, która zajmuje się ustalaniem norm języka francuskiego, również jest przeciwna wprowadzaniu takich zmian i wskazuje, że wynikają one z wpływu amerykańskiej kultury. ZOBACZ TEŻ: Nauczycielka, w której zakochał się uczeń, przyszły prezydent Francji. Kim jest Brigitte Macron?"
https://tvn24.pl/polska/sejmowa-komisja-przeciwko-uchyleniu-immunitetu-przemyslawowi-czarnkowi-za-uchyleniem-tomaszowi-treli-st6491809,"Komisja przeciwko uchyleniu immunitetu Czarnkowi, za uchyleniem w przypadku Treli","14 grudnia 2022, 7:02","Sejmowa komisja regulaminowa odrzuciła wniosek o uchylenie immunitetu poselskiego Przemysławowi Czarnkowi z Prawa i Sprawiedliwości. Jednocześnie pozytywnie zaopiniowała wniosek o uchylenie immunitetu wiceszefowi klubu Lewicy Tomaszowi Treli. W pierwszej sprawie chodzi o wypowiedź Czarnka, który mówił, że ""osoby LGBT nie są równe ludziom normalnym"". W drugiej - o wniosek z oskarżenia prywatnego byłej posłanki PiS Krystyny Pawłowicz.","Sejmowa komisja Regulaminowa, Spraw Poselskich i Immunitetowych rozpatrywała we wtorek dwa wnioski o uchylenie immunitetów. Pierwszy z nich to wniosek z oskarżenia prywatnego byłej posłanki Prawa i Sprawiedliwości, obecnej sędzi Trybunału Konstytucyjnego Krystyny Pawłowicz o wyrażenie zgody na pociągnięcie do odpowiedzialności karnej posła Tomasza Treli (Lewica), drugi wniosek również oskarżycieli prywatnych o pociągnięcie do odpowiedzialności karnej posła Przemysława Czarnka (PiS). W trakcie posiedzenia poseł Andrzej Szejna ustanowiony przez Trelę jako obrońca, wyjaśnił, że wiceszef klubu Lewicy w ramach swojego mandatu interweniował w sprawie oświadczenia majątkowego sędzi TK Krystyny Pawłowicz. - Możliwość wglądu w majątek zgromadzony przez osoby piastujące pewne urzędy jest ważnym elementem zasady jawności życia publicznego - podkreślał Szejna. Przekonywał, że uchylenie immunitetu posłowi Treli byłoby nieetycznym działaniem na rzecz byłej posłanki Prawa i Sprawiedliwości. Sam Trela przekonywał, że obywatel ma prawo spojrzeć w oświadczenie majątkowe tych osób, które zarabiają pieniądze dzięki obywatelom. Pełnomocnik Pawłowicz twierdził natomiast, że w tym przypadku posłowi zostać powinien zniesiony immunitet formalny. Po burzliwej dyskusji, posłowie opowiedzieli się w głosowaniu za zniesieniem immunitetu wiceszefowi klubu Lewicy. Na tym samym posiedzeniu komisja negatywnie zaopiniowała wniosek o odrzucenie immunitetu Przemysławowi Czarnkowi z PiS. Jak wyjaśniała przedstawicielka oskarżenia, wniosek dotyczy wypowiedzi obecnego ministra edukacji Czarnka z 13 czerwca 2020 roku dla jednej z telewizji, w której stwierdził on, że ""osoby LGBT nie są równe ludziom normalnym"". W imieniu ministra Czarnka głos zabrał na komisji wiceminister edukacji Tomasz Rzymkowski, który zaznaczył, że wypowiadając przytoczony fragment, Czarnek występował jako poseł, gdyż wówczas nie był jeszcze ministrem edukacji. Rzymkowski zwracał również uwagę na konstytucyjną gwarancje wyrażania własnej opinii i realizację prawa do wolności słowa. Wyjaśnił, że wypowiedź Czarnka odnosiła się do pewnych zachowań, a nie do konkretnych osób, i wnosił o odrzucenie wniosku."
https://tvn24.pl/swiat/usa-ustawa-uznajaca-malzenstwa-jednoplciowe-prezydent-usa-joe-biden-podpisal-ustawe-st6492339,Biden podpisał ustawę uznającą małżeństwa jednopłciowe,"14 grudnia 2022, 5:24","Ustawa potwierdzająca federalne uznanie małżeństw osób tej samej płci została podpisana przez prezydenta USA Joe Bidena. Ustawa ma w zamierzeniu ochronić obowiązujące od 2015 roku uznawanie takich małżeństw przed ewentualnymi zmianami, jakie mogłyby zostać zaprowadzone przez Sąd Najwyższy.","Prezydent USA Joe Biden podpisał we wtorek ustawę potwierdzającą federalne uznanie małżeństw między przedstawicielami tej samej płci. - Dziś Ameryka dokonuje kluczowego kroku w kierunku równości, w kierunku wolności, i sprawiedliwości nie tylko dla niektórych, ale dla wszystkich - powiedział Biden przed podpisaniem podpisywania ustawy w Ogrodzie Różanym przed Białym Domem. - Małżeństwo to prosta propozycja: kogo kochasz i czy będziesz lojalny wobec tej osoby, którą kochasz? To prawo uznaje, że wszyscy powinni mieć prawo, by sami odpowiedzieć na te pytania bez ingerencji państwa - dodał. Podczas ceremonii wystąpili wspierający ruch LGBT muzycy Sam Smith i Cyndi Lauper. Biden wspominał, że kiedy po raz pierwszy opowiedział się za prawem do małżeństw jednopłciowych podczas kampanii wyborczej w 2012 roku, ""wpadł w tarapaty"". Ostatecznie prawo takie zostało wprowadzone decyzją Sądu Najwyższego w 2015 roku w wyroku Obergefell przeciwko Hodges. Demokraci zgłosili projekt ustawy kodyfikującej te przepisy po tym, jak w tym roku Sąd Najwyższy unieważnił federalne prawo do aborcji opierające się na innym precedensowym wyroku w sprawie Roe przeciwko Wade z 1972 roku. W uzasadnieniu jeden z sędziów, Clarence Thomas, zasugerował, że Sąd Najwyższy powinien ponownie rozpatrzeć wyrok w sprawie małżeństw jednopłciowych."
https://tvn24.pl/swiat/usa-ustawe-zapewniajaca-prawo-do-zawierania-malzenstw-jednoplciowych-przeglosowana-w-kongresie-st6423667,Kongres przegłosował ustawę kodyfikującą prawo do zawierania małżeństw jednopłciowych,"9 grudnia 2022, 7:48","Izba Reprezentantów USA ostatecznie zatwierdziła ustawę, która zapewnia federalne uznanie małżeństw osób tej samej płci i mieszanych rasowo. Jest to środek stworzony z obawy, że Sąd Najwyższy mógłby ewentualnie odwrócić uznanie dla prawnego uznania takich związków. - Ponadpartyjne przyjęcie Respect for Marriage Act znaczącą przewagą głosów da spokój ducha milionom LGBTQI+ i międzyrasowym parom, które teraz mają zagwarantowane prawa i ochrony przysługujące im i ich dzieciom - oświadczył prezydent USA Joe Biden.","Izba Reprezentantów przyjęła w czwartek ustawę kodyfikującą w prawie amerykańskim uznanie małżeństw jednopłciowych i mieszanych rasowo. Ustawa miała na celu zapewnić dalsze uznawanie takich małżeństw niezależnie od ewentualnych przyszłych wyroków Sądu Najwyższego. Ustawa Respect for Marriage Act, którą już w listopadzie przegłosował Senat, została przyjęta przez Izbę stosunkiem głosów 258-169. Zagłosowali za nią wszyscy demokraci i 39 republikanów. Jak stwierdziła podczas debaty spiker Izby Nancy Pelosi, nowe prawo ma ""uniemożliwić prawicowym ekstremistom"" podważenia legalności małżeństw jednopłciowych. Prawo do takich małżeństw zostało wprowadzone decyzją Sądu Najwyższego w 2015 roku w wyroku Obergefell przeciwko Hodges. Część republikanów przeciwnych ustawie argumentowała, że otworzy ona drogę do pozwów przeciwko instytucjom religijnym sprzeciwiających się takim małżeństwom. W ostatecznej wersji tekstu znalazła się jednak poprawka mówiąca, że organizacje religijne nie są zobligowane do ""świadczenia żadnych usług"" dla celów celebracji małżeństwa. Demokraci zgłosili projekt po tym, jak Sąd Najwyższy unieważnił federalne prawo do aborcji opierające się na innym precedensowym wyroku w sprawie Roe przeciwko Wade z 1972 roku. W uzasadnieniu nowego jeden z sędziów, Clarence Thomas zasugerował, że Sąd powinien ponownie rozpatrzeć wyrok w sprawie małżeństw jednopłciowych. - Ponadpartyjne przyjęcie Respect for Marriage Act znaczącą przewagą głosów da spokój ducha milionom LGBTQI+ i międzyrasowym parom, które teraz mają zagwarantowane prawa i ochrony przysługujące im i ich dzieciom - powiedział w oświadczeniu prezydent Joe Biden, który zapowiedział podpisanie ustawy."
https://tvn24.pl/swiat/usa-senat-przyjal-ustawe-o-ochronie-malzenstw-osob-tej-samej-plci-st6272222,Senat USA przyjął ustawę o ochronie małżeństw osób tej samej płci,"30 listopada 2022, 5:47","Senat USA przyjął we wtorek ustawę, która chroni na poziomie federalnym uznawanie małżeństw osób tej samej płci. Środek ten został podjęty w odpowiedzi na obawy, że Sąd Najwyższy może unieważnić decyzję z 2015 roku, która zalegalizowała ten rodzaj małżeństw w całym kraju.","Przyjęta przez amerykański Senat ustawa o ochronie małżeństw osób tej samej płci - która może wymagać od federalnych władz uznania małżeństwa w stanie, w którym zostało zawarte - ma stanowić zabezpieczenie na wypadek, gdyby Sąd Najwyższy wystąpił przeciwko małżeństwom osób tej samej płci. - Wykonaliśmy długi, ale nieubłagany marsz w kierunku większej równości - powiedział przywódca większości w Senacie Chuck Schumer. - Przyjmując tę ustawę, Senat wysyła wiadomość, którą każdy Amerykanin musi usłyszeć: bez względu na to, kim jesteś i kogo kochasz, ty również zasługujesz na godność i równe traktowanie zgodnie z prawem - dodał. Ustawa została przyjęta stosunkiem głosów 61 do 36 - do jej uchwalenia potrzebnych było 60 głosów. Poparcie dla ustawy wyraziło 12 republikanów. W głosowaniu nie wzięło udziału dwóch republikańskich senatorów i jeden demokrata, Raphael Warnock z Georgii. Podobny projekt ustawy przeszedł przez Izbę Reprezentantów na początku roku, wówczas poparcie dla zapisów wspierających małżeństwa osób tej samej płci wyraziło 47 republikańskich polityków."
https://tvn24.pl/kultura-i-styl/emma-corrin-chce-by-oscary-byly-neutralne-plciowo-st6236345,"Brytyjska gwiazda chce, by kategorie aktorskie Oscarów były neutralne płciowo","25 listopada 2022, 13:15","Emma Corrin wzywa do połączenia kategorii dla najlepszej aktorki i najlepszego aktora przy przyznawaniu głównych nagród filmowych. - Mam nadzieję, że stanie się to w przyszłości - mówi w BBC gwiazda serialu ""The Crown"", w którym wciela się w księżną Dianę.","Emma Corrin identyfikuje się jako osoba niebinarna. 26-letnia gwiazda ma na koncie Złoty Glob, była też nominowana do nagrody Emmy za rolę księżnej Diany. BBC pisze, że wówczas identyfikowała się z żeńskimi zaimkami. Jak tłumaczy brytyjskiej stacji Corrin, w tym momencie jest dla niej jednak ciężkie pogodzenie bycia osobą niebinarną i nominacji w kategoriach żeńskich. ""Czy potrzebujemy precyzować, do jakich kategorii jesteśmy nominowani, żeńskich, czy męskich?"" - pyta. I dodaje, że dyskusja powinna koncentrować się raczej na większej reprezentacji osób niebinarnych czy transpłciowych. ZOBACZ TEŻ: Jarosław Kaczyński znów lekceważąco o osobach transpłciowych: to sprzeczne ze zdrowym rozsądkiem Corrin jest pierwszą osobą niebinarną, która wystąpiła na okładce magazynu ""Vogue"": Rzecznik nagród Brytyjskiej Akademii Filmowej potwierdził w rozmowie z BBC, że organizacja jest ""zaangażowana"" w konsultacje na ten temat. Jak przypomina brytyjski nadawca, przemysł muzyczny już dużo zmienił w tym względzie - nagrody Grammy są neutralne pod względem płci od 2012 roku, Brit Awards połaczyły zaś kategorie w tym roku. Pierwszą osobą, która zdobyła nagrodę w nowej kategorii, była Adele. ""Rozumiem, dlaczego nazwa tej nagrody się zmieniła, ale naprawdę uwielbiam być kobietą i artystką. Naprawdę. Jestem z nas naprawdę dumna” - przypomina jej słowa BBC. ZOBACZ TEŻ: Amerykanie sami określą w dokumentach swoją płeć. Nowa polityka urzędu ubezpieczeń społecznych"
https://tvn24.pl/swiat/rosja-parlament-za-zaostrzeniem-przepisow-zakazujacych-propagandy-lgbt-st6234836,"Rosyjski parlament za zaostrzeniem przepisów zakazujących ""propagandy LGBT""","24 listopada 2022, 13:53","Rosyjski parlament przegłosował w czwartek w trzecim i ostatnim czytaniu ustawę, która rozszerza istniejący już zakaz promowania wśród dzieci ""propagandy LGBT"" na osoby w każdym wieku - przekazała agencja Reutera.","Zgodnie z nowymi przepisami przyjętymi w trzecim czytaniu przez Dumę Państwową każde wydarzenie lub działanie, które uznane zostanie za promowanie homoseksualizmu - w tym w internecie, kinie, książkach, reklamie czy przestrzeni publicznej - może zostać ukarane wysoką grzywną. Grzywna ta dla osób indywidualnych może sięgać 400 tysięcy rubli (około 30 tysięcy złotych), a dla instytucji 5 milionów rubli (374 tysiące złotych) - podała agencja Reutera. Cudzoziemcom grozi z kolei 15 dni aresztu, a następnie wydalenie z Rosji. Przed wejściem w życie ustawa musi zostać przyjęta przez Radę Federacji, a następnie podpisana przez prezydenta Władimira Putina. Jeden z kluczowych architektów ustawy Aleksander Chinsztejn zaprzeczył, że ustawa stanowi akt cenzury. - Nie zabraniamy odnoszenia się do LGBT jako zjawiska. Zakazujemy propagandy, a określenie to jest tutaj niezwykle ważne - powiedział w zeszłym miesiącu. - Obecnie LGBT jest elementem wojny hybrydowej i w tej wojnie hybrydowej musimy chronić nasze wartości, nasze społeczeństwo i nasze dzieci - dodał. Organizacja LGBT Network, która oferuje pomoc prawną, oceniła, że projekt ustawy jest ""absurdalną"" próbą upokorzenia i dyskryminacji społeczności LGBT. ""Prawodawcy sugerują, że dorosła, dojrzała populacja nie jest w stanie decydować o tym, co mówić, oglądać i czytać"" – oświadczyła. - W rzeczywistości to, co się dzieje, to całkowity państwowy zakaz LGBT+ - powiedział agencji Reutera przedstawiciel LGBT Network. - Chcą zabronić nam nie tylko mówienia o sobie lub w jakiś sposób demonstrowania naszych uczuć wobec naszych partnerów, ale także całkowicie wymazać wszelkie wzmianki o nas w kulturze: książkach, filmach, mediach - dodał. Aplikacja TikTok w październiku została ukarana karą 3 mln rubli (około 231 tys. złotych) za ""promocję filmów z motywami LGBT"", a rosyjski regulator medialny zwrócił się do wydawnictw o rozważenie wycofania ze sprzedaży wszystkich książek zawierających ""propagandę LGBT""."
https://tvn24.pl/swiat/mistrzostwa-swiata-w-katarze-regionalna-flaga-brazylii-pomylona-z-symbolem-lgbt-interwencja-pod-stadionem-st6232415,"Regionalna flaga pomylona z symbolem LGBT, interwencja pod stadionem w Katarze","23 listopada 2022, 5:36","Brazylijski dziennikarz relacjonujący mistrzostwa świata w Katarze nagrał interwencję służb wobec kibica trzymającego flagę Pernambuco, północno-wschodniego stanu w Brazylii, na której znajduje się tęcza. Jak relacjonuje, flaga została pomylona z symbolem środowiska LGBT.","Victor Pereira powiedział we wtorek, że katarskie władze przejęły jego telefon po tym, jak nagrał on interwencję wobec mężczyzny trzymającego kolorową flagę stanu Pernambuco, na której widnieje tęcza, czerwony krzyż i gwiazda. Brazylijski dziennikarz powiedział agencji Reutera, że ""mężczyzna ubrany w tradycyjną białą szatę pomylił flagę brazylijskiego stanu z tęczową flagą społeczności LGBT"". Do zdarzenia doszło przed stadionem Lusail po meczu Arabii Saudyjskiej z Argentyną. Homoseksualizm jest w Katarze nielegalny i podlega karze więzienia. - Mężczyzna w białej szacie złapał flagę, rzucił ją na ziemię i zaczął ją deptać - powiedział dziennikarz. - Wziąłem telefon, żeby nagrać zdarzenie, ale wyrwał mi go z ręki i powiedział, że odda mi go tylko wtedy, gdy usunę wideo - dodał. W związku z zamieszaniem na miejsce przybył oficer policji. On również, jak poinformował Pereira, kazał mu usunąć nagranie. Dziennikarz wykonał polecenie i odzyskał telefon, ale po chwili zrelacjonował zdarzenie w mediach społecznościowych."
https://tvn24.pl/najnowsze/mundial-2022-teczowa-opaska-kapitanska-sponsor-niemiec-deutsche-telekom-chce-wyjasnien-rewe-wstrzymuje-reklamy-st6231868,"Wielka sieć wstrzymuje reklamy, telekomunikacyjny gigant chce wyjaśnień","22 listopada 2022, 15:50","Deutsche Telekom poinformował, że planuje rozmawiać z Niemieckim Związkiem Piłki Nożnej (DFB) na temat rezygnacji z noszenia tęczowych opasek ""OneLove"" podczas mistrzostw świata w Katarze. Wcześniej sieć sklepów spożywczych Rewe zawiesiła kampanię reklamową - podał Reuters.","W weekend FIFA poinformowała, że noszący tęczową opaskę kapitańską zawodnik będzie karany żółtą kartką jeszcze przed rozpoczęciem meczu. To skłoniło Anglię, Walię, Belgię, Danię, Holandię, Szwajcarię oraz Niemcy, które miały w planach taką formę wyrażenia solidarności z osobami nieheteronormatywnymi, do rezygnacji z tęczowej opaski. - Wkrótce porozmawiamy z DFB o całej sprawie - powiedział cytowany przez Reutera rzecznik Deutsche Telekom. Dodał, że firma chce zrozumieć uzasadnienie tej decyzji. WSZYSTKO O MUNDIALU W KATARZE. WYNIKI, TERMINARZ, SKŁADY Rewe to jedna z największych niemieckich sieci supermarketów ze sprzedażą w całej grupie na poziomie 76,5 miliarda euro. To pierwszy sponsor, który podjął działania po tym, jak FIFA zagroziła żółtymi kartkami dla zawodników noszących wielokolorową opaskę. - Opowiadamy się za różnorodnością, a piłka nożna to także różnorodność. To nasze stanowisko i będziemy go bronić - stwierdził cytowany przez Agencję Reutera Lionel Souque, dyrektor generalny Rewe Group. - Skandaliczna postawa FIFA jest absolutnie nie do przyjęcia - uznał Souque. Niemiecki Związek Piłki Nożnej stwierdził, że federacje popierające opaskę stanęły w obliczu ""skrajnego szantażu"" i porzucił plany noszenia jej przez graczy, ponieważ ponoszenie przez nich konsekwencji byłoby niesprawiedliwe - podał Reuters. Agencja dodała, że sieć Rewe już w październiku poinformowała DFB, że nie zamierza kontynuować współpracy. Jednak po decyzji o tęczowej opasce chciała wyraźnie zdystansować się od stanowiska FIFA i zrzec się praw reklamowych wynikających z umowy sponsorskiej. Sieć przekazała, że zacznie rozdawać albumy z naklejkami związane z mistrzostwami świata za darmo i przekaże na cele charytatywne dochody z tych, które już sprzedała. W niedzielę gazeta ""Sun"" poinformowała, że ​​producent napojów i sponsor Anglii - Lucozade - wycofał swoją markę z mistrzostw świata. FIFA poinformowała w poniedziałek, że przyspieszyła początek własnej kampanii ""Bez dyskryminacji"" z planowanego etapu ćwierćfinałowego, by wszyscy kapitanowie 32 drużyn mieli możliwość noszenia promującej kampanię opaski podczas turnieju. Niemiecki Związek Piłki Nożnej (DFB) jest największym na świecie, z ponad siedmioma milionami aktywnych członków. Inni partnerzy DFB to Volkswagen, Adidas, Deutsche Telekom, Lufthansa i Commerzbank - podał Reuters. ZOBACZ TEŻ: Piękny gest Anglika po strzelonym golu. Obiecał to przed mundialem Mundial w Katarze budzi duże kontrowersje między innymi ze względu na łamanie praw człowieka w tym kraju. Homoseksualizm jest tam nielegalny i zagrożony karą więzienia. Lokalne prawo dyskryminuje również kobiety. W wielu sytuacjach są one zobowiązane do posiadania tzw. męskiego opiekuna, czyli męskiego członka rodziny, który musi towarzyszyć im przy podejmowaniu ważnych decyzji. Organizatorzy mistrzostw zapewniają, że wszyscy przyjezdni będą mile widziani, bez względu na ich rasę, religię, płeć czy orientację seksualną, ale przypominają również o konieczności poszanowania ich praw i kultury. ZOBACZ TEŻ: Lato zakochał się w Meksyku, strzelał Argentynie. ""O, prezencik i pyk do pustej bramki na 1:0"""
https://tvn24.pl/swiat/mundial-2022-usa-walia-dziennikarz-zatrzymany-za-koszulke-z-tecza-st6231260,"Chciał wejść na mecz w koszulce z tęczą. Usłyszał, że ""jest niedozwolona"" i został zatrzymany","22 listopada 2022, 11:53","Amerykański dziennikarz Grant Wahl przekazał na Twitterze, że ochroniarz nie pozwolił mu wejść na stadion w katarskim Ar-Rajjan, bo miał na sobie koszulkę z tęczą. Amerykanin został zatrzymany na pół godziny, wszedł na obiekt dopiero po interwencji szefa ochrony. Wahl otrzymał przeprosiny zarówno od niego, jak i od przedstawiciela FIFA.","Do zdarzenia miało dojść przed meczem USA-Walia, który został rozegrany w drugim dniu mundialu w Katarze, 21 listopada. Grant Wahl, były dziennikarz magazynu ""Sports Illustrated"", który obecnie prowadzi swój własny portal, chciał wejść na stadion Ahmad bin Ali Stadium w Ar-Rajjan, gdzie odbywało się to spotkanie, w koszulce z tęczą, symbolem środowisk LGBT+. Jak przekazał Wahl na swoim twitterowym koncie, ochroniarz początkowo nie pozwolił mu wejść w niej na stadion. - Musisz zmienić koszulkę. Ta jest niedozwolona - tak swoją decyzję miał argumentować mężczyzna zabezpieczający obiekt. Wahl dodał, że gdy wyciągnął telefon, aby poinformować na Twitterze o tym incydencie, ochroniarz mu go zabrał. Później podszedł do niego szef ochrony. Przeprosił dziennikarza za zaistniałą sytuację i wpuścił go na stadion. Wahl odzyskał też swój telefon. Dodał, że otrzymał również przeprosiny od przedstawiciela FIFA. - Ze mną wszystko w porządku, ale ta sytuacja była niepotrzebna. Zostałem zatrzymany na prawie pół godziny - podkreślił były współpracownik ""Sports Illustrated"". ZOBACZ TEŻ: Piękny gest Anglika po strzelonym golu. Obiecał to przed mundialem Incydent na stadionie w Ar-Rajjan miał miejsce zaledwie kilka godzin po tym, jak reprezentacja Anglii ogłosiła, że jej kapitan Harry Kane na katarskich boiskach jednak nie będzie występował w tęczowej opasce. Za pomocą tego elementu stroju Wyspiarze mieli wyrażać swoją solidarność ze środowiskami LGBT+, które w Katarze i wielu innych muzułmańskich krajach są prześladowane ze względu na swoją orientację seksualną. W weekend FIFA poinformowała jednak, że za taki gest noszący opaskę zawodnik będzie karany żółtą kartką jeszcze przed rozpoczęciem meczu. To skłoniło Anglię - i inne reprezentacje, które miały w planach taką formę wyrazu solidarności - do rezygnacji z tęczowej opaski. Mundial w Katarze budzi duże kontrowersje między innymi ze względu na łamanie praw człowieka w tym kraju. Homoseksualizm jest tam nielegalny i zagrożony karą więzienia. Lokalne prawo dyskryminuje również kobiety. W wielu sytuacjach są one zobowiązane do posiadania tzw. męskiego opiekuna, czyli męskiego członka rodziny, który musi towarzyszyć im przy podejmowaniu ważnych decyzji. Organizatorzy mistrzostw zapewniają, że wszyscy przyjezdni będą mile widziani, bez względu na ich rasę, religię, płeć czy orientację seksualną, ale przypominają również o konieczności poszanowania ich praw i kultury. ZOBACZ TEŻ: Lato zakochał się w Meksyku, strzelał Argentynie. ""O, prezencik i pyk do pustej bramki na 1:0"""
